Suburb,Rooms,Type,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,Price
Canterbury,2,u,SP,23/04/2016,9,3126,2,1,1,118,,,-37.8257,145.0856,Southern Metropolitan,3265,690500
Canterbury,3,h,PI,26/07/2016,9,3126,3,2,2,361,216,1995,-37.8206,145.0785,Southern Metropolitan,3265,1850000
Canterbury,2,u,S,27/06/2016,9,3126,2,1,2,132,,,-37.8234,145.0731,Southern Metropolitan,3265,736000
Canterbury,3,t,S,27/06/2016,9,3126,3,2,2,0,,,-37.8207,145.0854,Southern Metropolitan,3265,1843000
Canterbury,2,u,S,27/11/2016,9,3126,2,1,1,122,,,-37.8236,145.0729,Southern Metropolitan,3265,685000
Canterbury,2,h,VB,27/11/2016,9,3126,2,1,3,716,,,-37.8213,145.079,Southern Metropolitan,3265,1800000
Canterbury,3,h,S,27/11/2016,9,3126,3,2,2,316,,1986,-37.8273,145.0786,Southern Metropolitan,3265,1800000
Canterbury,4,h,S,27/11/2016,9,3126,4,2,2,796,276,2012,-37.8266,145.072,Southern Metropolitan,3265,3145000
Canterbury,4,t,S,28/05/2016,9,3126,4,2,2,780,,,-37.8206,145.0678,Southern Metropolitan,3265,1742000
Canterbury,4,t,S,28/08/2016,9,3126,3,2,2,278,,,-37.8273,145.0752,Southern Metropolitan,3265,1420000
Canterbury,2,u,S,30/07/2016,9,3126,2,1,2,0,,,-37.8291,145.0826,Southern Metropolitan,3265,1016000
Carlton North,3,h,VB,3/9/2016,3.2,3054,3,1,1,314,,1900,-37.7871,144.9766,Northern Metropolitan,3106,1330000
Carlton North,3,h,S,4/3/2017,3.2,3054,3,1,0,169,,,-37.7821,144.9753,Northern Metropolitan,3106,1540000
Carlton North,4,h,S,4/3/2017,3.2,3054,4,3,0,122,130,1890,-37.7893,144.9696,Northern Metropolitan,3106,1425000
Carlton North,2,h,S,4/3/2017,3.2,3054,2,1,1,210,,,-37.7844,144.972,Northern Metropolitan,3106,1725000
Carlton North,3,h,VB,6/8/2016,3.2,3054,3,1,0,203,,,-37.7824,144.9733,Northern Metropolitan,3106,1280000
Carlton North,3,h,SP,7/5/2016,3.2,3054,3,1,2,499,164,1910,-37.7811,144.9715,Northern Metropolitan,3106,2950000
Carlton North,4,h,S,7/5/2016,3.2,3054,3,1,0,418,163,1920,-37.7808,144.9736,Northern Metropolitan,3106,2175000
Carlton North,2,t,S,8/10/2016,3.2,3054,2,1,1,1031,,1970,-37.784,144.9715,Northern Metropolitan,3106,765000
Carlton North,2,h,PI,10/12/2016,3.2,3054,2,1,1,73,104,2009,-37.7852,144.9719,Northern Metropolitan,3106,800000
Carlton North,2,h,S,10/12/2016,3.2,3054,2,1,0,133,,,-37.786,144.9704,Northern Metropolitan,3106,1301000
Carlton North,4,h,S,11/3/2017,3.2,3054,4,2,0,538,142,2015,-37.7816,144.9714,Northern Metropolitan,3106,2718000
Carlton North,1,u,S,11/3/2017,3.2,3054,1,1,1,861,,1970,-37.7851,144.9723,Northern Metropolitan,3106,468000
Carlton North,2,h,S,12/11/2016,3.2,3054,1,2,0,413,172,1900,-37.7875,144.9759,Northern Metropolitan,3106,2400000
Carlton North,3,h,S,14/05/2016,3.2,3054,2,2,1,190,,,-37.7847,144.9741,Northern Metropolitan,3106,2210000
Carlton North,2,h,S,15/10/2016,3.2,3054,2,1,0,116,,,-37.7904,144.9726,Northern Metropolitan,3106,1330000
Carlton North,4,h,S,16/04/2016,3.2,3054,4,2,2,504,168,1890,-37.7805,144.9721,Northern Metropolitan,3106,2520000
Carlton North,3,h,S,16/04/2016,3.2,3054,3,3,1,144,,,-37.7885,144.9757,Northern Metropolitan,3106,1214000
Carlton North,3,h,S,16/07/2016,3.2,3054,3,2,1,163,135,,-37.786,144.9751,Northern Metropolitan,3106,1955000
Carlton North,1,u,S,16/07/2016,3.2,3054,1,1,1,0,,1970,-37.7907,144.9691,Northern Metropolitan,3106,390000
Carlton North,1,h,S,18/03/2017,3.2,3054,1,1,0,93,,,-37.7888,144.9698,Northern Metropolitan,3106,885000
Carlton North,3,h,S,18/03/2017,3.2,3054,3,2,0,84,148,1970,-37.7879,144.9736,Northern Metropolitan,3106,2050000
Carlton North,2,h,S,18/06/2016,3.2,3054,3,1,1,100,,,-37.7879,144.9759,Northern Metropolitan,3106,910000
Carlton North,2,h,S,18/06/2016,3.2,3054,2,1,0,142,,,-37.7911,144.9688,Northern Metropolitan,3106,880000
Carlton North,4,h,S,22/05/2016,3.2,3054,4,2,2,207,162,1900,-37.7804,144.9748,Northern Metropolitan,3106,1950000
Carlton North,3,h,S,22/08/2016,3.2,3054,3,1,1,131,,,-37.7846,144.9704,Northern Metropolitan,3106,1280000
Carlton North,1,u,S,24/09/2016,3.2,3054,1,1,1,0,56,1970,-37.7798,144.9707,Northern Metropolitan,3106,437000
Carlton North,2,h,VB,24/09/2016,3.2,3054,2,1,2,373,,,-37.7828,144.9702,Northern Metropolitan,3106,1150000
Carlton North,2,u,VB,24/09/2016,3.2,3054,2,1,1,0,86,1940,-37.7813,144.9773,Northern Metropolitan,3106,520000
Carlton North,2,u,S,27/06/2016,3.2,3054,2,1,1,0,76,1975,-37.7902,144.97,Northern Metropolitan,3106,570000
Carnegie,3,u,S,3/9/2016,11.4,3163,3,1,2,0,96,1989,-37.897,145.0623,Southern Metropolitan,7822,820000
Carnegie,2,t,S,3/9/2016,11.4,3163,2,2,1,133,104,2009,-37.8911,145.0539,Southern Metropolitan,7822,795000
Carnegie,2,u,SP,3/12/2016,11.4,3163,2,1,1,73,61,1970,-37.897,145.0593,Southern Metropolitan,7822,600000
Carnegie,3,h,S,3/12/2016,11.4,3163,3,1,2,425,166,1960,-37.8876,145.0502,Southern Metropolitan,7822,1295000
Carnegie,4,h,S,3/12/2016,11.4,3163,4,2,0,365,,1919,-37.8877,145.0507,Southern Metropolitan,7822,1275000
Carnegie,3,h,S,3/12/2016,11.4,3163,3,1,1,808,,,-37.8982,145.0461,Southern Metropolitan,7822,1620000
Carnegie,2,u,S,4/3/2017,11.4,3163,2,1,1,0,69,1970,-37.8912,145.0644,Southern Metropolitan,7822,510000
Carnegie,1,u,S,4/3/2017,11.4,3163,1,1,1,0,,,-37.8875,145.0599,Southern Metropolitan,7822,255000
Carnegie,2,h,S,4/3/2017,11.4,3163,2,1,1,282,111,,-37.8957,145.0528,Southern Metropolitan,7822,890000
Carnegie,1,u,S,4/3/2017,11.4,3163,1,1,1,60,48,1970,-37.8965,145.0618,Southern Metropolitan,7822,346000
Carnegie,3,t,SP,4/3/2017,11.4,3163,3,2,1,1113,113,1990,-37.8972,145.0642,Southern Metropolitan,7822,860000
Carnegie,2,u,S,4/3/2017,11.4,3163,2,1,1,898,,1970,-37.9003,145.0634,Southern Metropolitan,7822,586000
Carnegie,2,u,S,4/6/2016,11.4,3163,2,1,2,0,100,1973,-37.8863,145.066,Southern Metropolitan,7822,772000
Carnegie,4,h,S,4/6/2016,11.4,3163,4,2,2,561,204,1925,-37.8934,145.0633,Southern Metropolitan,7822,1506000
Carnegie,3,t,PI,4/6/2016,11.4,3163,3,2,1,0,107,1990,-37.8972,145.0642,Southern Metropolitan,7822,675000
Carnegie,2,u,SP,4/6/2016,11.4,3163,2,1,2,0,67,2009,-37.8893,145.0589,Southern Metropolitan,7822,525000
Carnegie,1,u,S,4/6/2016,11.4,3163,1,1,1,0,50,1960,-37.8858,145.0632,Southern Metropolitan,7822,290000
Carnegie,1,u,S,4/6/2016,11.4,3163,1,1,1,0,,,-37.8982,145.0625,Southern Metropolitan,7822,363000
Carnegie,2,u,VB,6/8/2016,11.4,3163,2,1,1,0,70,1970,-37.9032,145.0555,Southern Metropolitan,7822,360000
Carnegie,2,h,S,6/8/2016,11.4,3163,3,1,2,299,115,1930,-37.8973,145.053,Southern Metropolitan,7822,967500
Carnegie,2,h,VB,6/8/2016,11.4,3163,1,2,2,265,,1920,-37.8881,145.0537,Southern Metropolitan,7822,1350000
Carnegie,2,u,S,6/8/2016,11.4,3163,2,1,1,0,,,-37.889,145.0533,Southern Metropolitan,7822,516000
Carnegie,1,u,S,6/8/2016,11.4,3163,1,1,1,0,33,1970,-37.8888,145.0533,Southern Metropolitan,7822,330000
Carnegie,3,h,S,7/5/2016,11.4,3163,4,2,2,751,40,1923,-37.8945,145.0648,Southern Metropolitan,7822,1600000
Carnegie,3,h,S,7/5/2016,11.4,3163,2,1,2,461,,,-37.8988,145.0516,Southern Metropolitan,7822,1170000
Carnegie,1,u,VB,7/5/2016,11.4,3163,1,1,1,0,,1968,-37.8983,145.0627,Southern Metropolitan,7822,260000
Carnegie,3,u,S,7/11/2016,11.4,3163,3,2,1,300,130,1990,-37.8974,145.0539,Southern Metropolitan,7822,1008000
Carnegie,2,u,S,7/11/2016,11.4,3163,2,1,1,78,,,-37.8967,145.0627,Southern Metropolitan,7822,625000
Carnegie,2,t,SP,7/11/2016,11.4,3163,2,2,1,106,,,-37.8881,145.0535,Southern Metropolitan,7822,700000
Carnegie,2,u,PI,10/9/2016,11.4,3163,2,1,1,109,,,-37.8971,145.0597,Southern Metropolitan,7822,545000
Carnegie,3,u,S,10/9/2016,11.4,3163,3,1,2,0,170,1925,-37.8977,145.0493,Southern Metropolitan,7822,1170000
Carnegie,4,h,S,10/9/2016,11.4,3163,3,2,2,687,237,1983,-37.8931,145.0479,Southern Metropolitan,7822,1830000
Carnegie,1,u,PI,10/9/2016,11.4,3163,1,1,1,0,34,1960,-37.8982,145.0625,Southern Metropolitan,7822,250000
Carnegie,2,t,S,10/12/2016,11.4,3163,2,2,1,166,170,2009,-37.8982,145.0488,Southern Metropolitan,7822,930000
Carnegie,2,u,S,11/2/2017,11.4,3163,2,1,1,0,56,1970,-37.8881,145.0558,Southern Metropolitan,7822,465000
Carnegie,3,h,S,11/3/2017,11.4,3163,3,2,2,721,,,-37.8909,145.0648,Southern Metropolitan,7822,1646000
Carnegie,2,u,VB,12/6/2016,11.4,3163,2,1,1,0,,,-37.8936,145.056,Southern Metropolitan,7822,460000
Carnegie,4,h,VB,12/11/2016,11.4,3163,4,2,2,757,133,1930,-37.8925,145.0541,Southern Metropolitan,7822,1550000
Carnegie,2,t,SA,13/08/2016,11.4,3163,2,1,1,144,96,2000,-37.892,145.0482,Southern Metropolitan,7822,707000
Carnegie,2,u,S,13/08/2016,11.4,3163,2,2,1,0,86,1993,-37.9,145.0548,Southern Metropolitan,7822,804000
Carnegie,3,h,S,14/05/2016,11.4,3163,3,2,1,588,,,-37.8937,145.0648,Southern Metropolitan,7822,1200000
Carnegie,4,h,S,14/05/2016,11.4,3163,3,2,1,598,201,1970,-37.9037,145.0588,Southern Metropolitan,7822,1501000
Carnegie,3,h,VB,14/05/2016,11.4,3163,3,1,1,586,,,-37.888,145.0505,Southern Metropolitan,7822,950000
Carnegie,3,t,PI,14/05/2016,11.4,3163,3,2,2,325,223,2005,-37.8933,145.0546,Southern Metropolitan,7822,970000
Carnegie,1,u,S,15/10/2016,11.4,3163,1,1,1,0,,,-37.8968,145.0609,Southern Metropolitan,7822,345000
Carnegie,2,h,S,16/04/2016,11.4,3163,2,1,1,211,102,2002,-37.8856,145.0599,Southern Metropolitan,7822,817500
Carnegie,4,h,PI,16/04/2016,11.4,3163,4,2,2,557,200,1938,-37.8955,145.0515,Southern Metropolitan,7822,1450000
Carnegie,3,h,PI,16/04/2016,11.4,3163,3,2,1,390,,,-37.8905,145.0518,Southern Metropolitan,7822,1000000
Carnegie,2,t,S,16/04/2016,11.4,3163,2,1,1,158,106,1994,-37.8886,145.052,Southern Metropolitan,7822,855000
Carnegie,2,h,S,16/04/2016,11.4,3163,2,1,1,0,90,1968,-37.8973,145.0625,Southern Metropolitan,7822,675000
Carnegie,2,u,SP,16/07/2016,11.4,3163,2,1,1,133,71,2011,-37.89,145.0559,Southern Metropolitan,7822,588000
Carnegie,2,u,S,16/07/2016,11.4,3163,2,1,1,0,73,1970,-37.8897,145.0524,Southern Metropolitan,7822,455000
Carnegie,3,u,S,16/07/2016,11.4,3163,3,1,2,0,,,-37.8893,145.0589,Southern Metropolitan,7822,602500
Carnegie,2,u,S,17/09/2016,11.4,3163,4,2,1,0,,,-37.8873,145.0572,Southern Metropolitan,7822,662000
Carnegie,3,h,S,17/09/2016,11.4,3163,3,2,2,554,,,-37.8934,145.0599,Southern Metropolitan,7822,1420000
Carnegie,3,u,SP,17/09/2016,11.4,3163,3,2,1,283,250,2005,-37.8974,145.0622,Southern Metropolitan,7822,920000
Carnegie,3,h,S,18/03/2017,11.4,3163,3,1,1,620,,,-37.9031,145.0578,Southern Metropolitan,7822,1287000
Carnegie,2,u,S,18/06/2016,11.4,3163,2,1,1,103,82,1970,-37.8873,145.0559,Southern Metropolitan,7822,656000
Carnegie,2,h,S,18/06/2016,11.4,3163,2,1,1,264,110,1930,-37.8864,145.0561,Southern Metropolitan,7822,930000
Carnegie,2,u,S,18/06/2016,11.4,3163,2,1,1,0,64,1970,-37.8889,145.048,Southern Metropolitan,7822,415000
Carnegie,2,u,S,18/06/2016,11.4,3163,2,1,1,174,80,1975,-37.8978,145.062,Southern Metropolitan,7822,650000
Carnegie,3,h,S,19/11/2016,11.4,3163,3,2,2,282,182,2010,-37.8953,145.0567,Southern Metropolitan,7822,1360000
Carnegie,2,u,SP,19/11/2016,11.4,3163,2,1,1,0,,,-37.8957,145.0599,Southern Metropolitan,7822,380000
Carnegie,2,u,S,19/11/2016,11.4,3163,2,1,1,134,,1965,-37.8987,145.0557,Southern Metropolitan,7822,765000
Carnegie,4,h,S,19/11/2016,11.4,3163,4,3,4,838,,,-37.8972,145.0617,Southern Metropolitan,7822,1423000
Carnegie,5,h,PI,19/11/2016,11.4,3163,5,3,1,564,,1930,-37.8957,145.0487,Southern Metropolitan,7822,1900000
Carnegie,2,h,S,19/11/2016,11.4,3163,2,1,2,316,2,,-37.8854,145.0636,Southern Metropolitan,7822,907000
Carnegie,1,u,S,19/11/2016,11.4,3163,1,1,1,0,53,1980,-37.8894,145.0508,Southern Metropolitan,7822,350000
Carnegie,3,h,S,22/05/2016,11.4,3163,3,2,2,603,166,1945,-37.9023,145.0568,Southern Metropolitan,7822,1430000
Carnegie,2,u,S,22/08/2016,11.4,3163,2,1,1,333,,,-37.8867,145.0653,Southern Metropolitan,7822,983500
Carnegie,3,h,S,22/08/2016,11.4,3163,3,2,1,371,167,1915,-37.8871,145.052,Southern Metropolitan,7822,1490000
Carnegie,2,u,S,22/08/2016,11.4,3163,2,2,1,0,,2014,-37.8873,145.0572,Southern Metropolitan,7822,572000
Carnegie,3,h,S,23/04/2016,11.4,3163,3,2,2,0,,,-37.8927,145.0644,Southern Metropolitan,7822,990000
Carnegie,4,t,S,23/04/2016,11.4,3163,4,3,2,305,,1996,-37.8978,145.0506,Southern Metropolitan,7822,1100000
Carnegie,3,h,PI,23/04/2016,11.4,3163,3,1,1,604,120,1925,-37.8993,145.0528,Southern Metropolitan,7822,1125000
Carnegie,2,u,S,25/02/2017,11.4,3163,2,1,1,132,,1970,-37.8959,145.06,Southern Metropolitan,7822,601000
Carnegie,4,h,PI,25/02/2017,11.4,3163,4,3,3,650,,,-37.9011,145.051,Southern Metropolitan,7822,1410000
Carnegie,2,u,PI,25/02/2017,11.4,3163,2,1,1,967,72,1970,-37.8843,145.0531,Southern Metropolitan,7822,405000
Carnegie,4,h,PI,25/02/2017,11.4,3163,4,2,2,595,221,1915,-37.8916,145.0543,Southern Metropolitan,7822,1655000
Carnegie,3,h,S,25/02/2017,11.4,3163,3,1,1,720,,,-37.8922,145.0544,Southern Metropolitan,7822,1910000
Carnegie,3,t,S,25/02/2017,11.4,3163,3,1,1,111,116,1998,-37.8889,145.0495,Southern Metropolitan,7822,808000
Carnegie,3,h,S,25/02/2017,11.4,3163,3,1,1,376,,,-37.8896,145.0492,Southern Metropolitan,7822,1252000
Carnegie,2,u,VB,26/07/2016,11.4,3163,2,1,1,0,68,1950,-37.8959,145.0639,Southern Metropolitan,7822,370000
Carnegie,4,h,S,26/07/2016,11.4,3163,3,2,3,932,270,1970,-37.8975,145.0478,Southern Metropolitan,7822,1880000
Carnegie,2,h,S,26/07/2016,11.4,3163,2,1,2,543,544,,-37.898,145.0528,Southern Metropolitan,7822,896000
Carnegie,5,h,S,27/06/2016,11.4,3163,4,2,2,366,,,-37.8868,145.0625,Southern Metropolitan,7822,1802100
Carnegie,2,u,S,27/06/2016,11.4,3163,2,1,1,108,67,1970,-37.8973,145.0596,Southern Metropolitan,7822,585000
Carnegie,2,u,S,27/06/2016,11.4,3163,2,1,1,0,72,1970,-37.8999,145.0575,Southern Metropolitan,7822,450000
Carnegie,2,u,S,27/06/2016,11.4,3163,2,1,1,165,,1990,-37.8927,145.0539,Southern Metropolitan,7822,737000
Carnegie,3,t,S,27/06/2016,11.4,3163,3,1,2,277,135,1978,-37.8978,145.0624,Southern Metropolitan,7822,860000
Carnegie,2,u,S,27/11/2016,11.4,3163,2,1,1,0,70,1973,-37.8956,145.0613,Southern Metropolitan,7822,605000
Carnegie,2,h,S,27/11/2016,11.4,3163,2,1,1,640,,1900,-37.891,145.0636,Southern Metropolitan,7822,1300000
Carnegie,4,h,S,28/05/2016,11.4,3163,3,3,2,454,275,2000,-37.8869,145.0628,Southern Metropolitan,7822,1518000
Carnegie,2,u,S,28/05/2016,11.4,3163,2,1,1,99,98,1965,-37.8946,145.0588,Southern Metropolitan,7822,632500
Carnegie,2,u,S,28/05/2016,11.4,3163,2,1,1,0,60,1980,-37.8986,145.0567,Southern Metropolitan,7822,435000
Carnegie,2,u,S,28/08/2016,11.4,3163,2,1,1,912,75,2008,-37.8936,145.056,Southern Metropolitan,7822,468250
Carnegie,3,h,S,28/08/2016,11.4,3163,2,2,1,817,130,1925,-37.9007,145.047,Southern Metropolitan,7822,1716000
Carnegie,1,u,S,30/07/2016,11.4,3163,1,1,1,0,,1968,-37.886,145.0659,Southern Metropolitan,7822,270000
Carnegie,1,u,S,30/07/2016,11.4,3163,1,1,1,0,48,1960,-37.8887,145.048,Southern Metropolitan,7822,365000
Carnegie,1,u,S,30/07/2016,11.4,3163,1,1,1,0,,,-37.8894,145.0508,Southern Metropolitan,7822,340000
Caulfield,2,u,S,3/9/2016,8.9,3162,2,1,1,0,100,1960,-37.8865,145.0302,Southern Metropolitan,2379,722500
Caulfield,4,t,SP,3/12/2016,8.9,3162,4,3,2,812,,,-37.8864,145.0326,Southern Metropolitan,2379,1600000
Caulfield,5,h,S,3/12/2016,8.9,3162,5,2,2,593,,,-37.8849,145.0341,Southern Metropolitan,2379,1665000
Caulfield,1,u,S,4/3/2017,8.9,3162,1,1,1,820,,,-37.8866,145.0322,Southern Metropolitan,2379,323000
Caulfield,2,u,VB,4/3/2017,8.9,3162,2,1,1,806,78,1960,-37.8852,145.024,Southern Metropolitan,2379,550000
Caulfield,2,u,SP,19/11/2016,8.9,3162,2,2,1,0,,,-37.8862,145.0175,Southern Metropolitan,2379,638000
Caulfield,4,h,PI,25/02/2017,8.9,3162,4,1,2,499,155,1920,-37.8864,145.0242,Southern Metropolitan,2379,131000
Caulfield,3,h,S,30/07/2016,8.9,3162,2,1,2,275,,,-37.885,145.0189,Southern Metropolitan,2379,1090000
Caulfield North,3,h,S,3/9/2016,8.1,3161,3,1,0,513,,,-37.8678,145.027,Southern Metropolitan,6923,1365000
Caulfield North,3,h,S,3/9/2016,8.1,3161,3,2,2,692,313,1955,-37.8629,145.019,Southern Metropolitan,6923,1750000
Caulfield North,2,u,SP,4/3/2017,8.1,3161,2,1,1,934,68,2012,-37.8607,145.0116,Southern Metropolitan,6923,580000
Caulfield North,3,h,PI,7/5/2016,8.1,3161,4,2,3,361,237,2014,-37.8694,145.0296,Southern Metropolitan,6923,2005000
Caulfield North,2,u,SP,7/11/2016,8.1,3161,2,1,1,0,,1960,-37.8694,145.0246,Southern Metropolitan,6923,523000
Caulfield North,2,u,VB,10/9/2016,8.1,3161,2,1,1,0,56,2012,-37.861,145.0136,Southern Metropolitan,6923,420000
Caulfield North,1,u,VB,10/12/2016,8.1,3161,1,1,1,952,43,1970,-37.8744,145.0371,Southern Metropolitan,6923,290000
Caulfield North,2,u,SP,10/12/2016,8.1,3161,2,1,1,0,,,-37.8607,145.0112,Southern Metropolitan,6923,608000
Caulfield North,2,u,S,12/11/2016,8.1,3161,2,1,1,0,67,,-37.8625,145.0103,Southern Metropolitan,6923,570000
Caulfield North,2,u,S,13/08/2016,8.1,3161,2,1,1,0,,,-37.8681,145.0258,Southern Metropolitan,6923,520500
Caulfield North,3,h,SP,15/10/2016,8.1,3161,3,1,0,270,139,1910,-37.868,145.0269,Southern Metropolitan,6923,1400000
Caulfield North,4,h,S,15/10/2016,8.1,3161,4,2,2,723,,,-37.8672,145.0225,Southern Metropolitan,6923,2830000
Caulfield North,2,u,SP,17/09/2016,8.1,3161,2,2,2,0,,2011,-37.8607,145.0116,Southern Metropolitan,6923,722000
Caulfield North,2,u,S,18/03/2017,8.1,3161,2,1,1,1092,63,2014,-37.8647,145.0232,Southern Metropolitan,6923,450000
Caulfield North,3,h,S,25/02/2017,8.1,3161,3,2,1,339,,,-37.8622,145.0112,Southern Metropolitan,6923,1870000
Caulfield North,2,u,PI,25/02/2017,8.1,3161,2,2,1,934,,,-37.8607,145.0116,Southern Metropolitan,6923,622000
Caulfield North,2,u,S,25/02/2017,8.1,3161,2,1,1,771,82,1960,-37.8686,145.0239,Southern Metropolitan,6923,536000
Caulfield North,4,h,S,25/02/2017,8.1,3161,4,2,3,836,,1910,-37.8696,145.0323,Southern Metropolitan,6923,2625000
Caulfield North,2,u,S,28/05/2016,8.1,3161,2,1,2,0,,,-37.8652,145.0198,Southern Metropolitan,6923,570000
Caulfield North,2,u,VB,28/05/2016,8.1,3161,2,1,1,0,67,2011,-37.8609,145.0126,Southern Metropolitan,6923,550000
Caulfield North,4,h,S,28/08/2016,8.1,3161,4,2,1,810,215,1915,-37.8698,145.0325,Southern Metropolitan,6923,2170000
Caulfield South,3,h,S,3/9/2016,9.3,3162,3,2,2,357,144,1935,-37.8896,145.0307,Southern Metropolitan,5051,1577500
Caulfield South,3,h,S,3/12/2016,9.3,3162,3,1,2,451,121,1960,-37.8874,145.019,Southern Metropolitan,5051,1460000
Caulfield South,1,u,PI,3/12/2016,9.3,3162,1,1,1,0,44,1960,-37.8961,145.0132,Southern Metropolitan,5051,275500
Caulfield South,2,h,S,4/3/2017,9.3,3162,2,1,1,273,114,1930,-37.895,145.022,Southern Metropolitan,5051,1065000
Caulfield South,3,h,S,7/5/2016,9.3,3162,3,2,2,296,,1910,-37.8906,145.0224,Southern Metropolitan,5051,1470000
Caulfield South,2,h,S,7/5/2016,9.3,3162,2,1,1,0,,,-37.9002,145.027,Southern Metropolitan,5051,1012000
Caulfield South,3,u,S,7/11/2016,9.3,3162,3,1,1,88,100,,-37.8997,145.0168,Southern Metropolitan,5051,599000
Caulfield South,3,h,S,8/10/2016,9.3,3162,3,2,1,358,,1930,-37.8965,145.0269,Southern Metropolitan,5051,1160500
Caulfield South,2,u,VB,8/10/2016,9.3,3162,2,1,1,100,,,-37.8912,145.0289,Southern Metropolitan,5051,650000
Caulfield South,3,h,S,8/10/2016,9.3,3162,3,1,1,359,120,,-37.8898,145.0196,Southern Metropolitan,5051,1170000
Caulfield South,3,h,S,10/9/2016,9.3,3162,3,1,2,339,,,-37.8906,145.0221,Southern Metropolitan,5051,1314000
Caulfield South,4,t,VB,10/12/2016,9.3,3162,4,2,2,216,165,1995,-37.8887,145.0318,Southern Metropolitan,5051,1030000
Caulfield South,2,h,S,12/11/2016,9.3,3162,2,1,2,284,99,1940,-37.8958,145.0215,Southern Metropolitan,5051,1225000
Caulfield South,3,h,S,13/08/2016,9.3,3162,2,2,1,478,120,1925,-37.8893,145.0161,Southern Metropolitan,5051,1450000
Caulfield South,4,h,S,14/05/2016,9.3,3162,4,2,2,575,256,2008,-37.8993,145.0254,Southern Metropolitan,5051,1774500
Caulfield South,2,u,S,15/10/2016,9.3,3162,2,1,1,831,80,1970,-37.8974,145.0294,Southern Metropolitan,5051,525500
Caulfield South,4,h,PI,16/04/2016,9.3,3162,5,3,4,708,,,-37.8923,145.0177,Southern Metropolitan,5051,1960000
Caulfield South,2,h,S,16/04/2016,9.3,3162,2,1,1,367,85,1930,-37.8995,145.0241,Southern Metropolitan,5051,825000
Caulfield South,2,h,S,16/04/2016,9.3,3162,4,2,2,464,272,2016,-37.8901,145.0224,Southern Metropolitan,5051,1262000
Caulfield South,3,u,S,16/07/2016,9.3,3162,3,2,1,299,,,-37.8891,145.0294,Southern Metropolitan,5051,1110000
Caulfield South,4,t,S,19/11/2016,9.3,3162,4,2,3,342,,2005,-37.8957,145.0196,Southern Metropolitan,5051,1410000
Caulfield South,3,h,S,22/05/2016,9.3,3162,3,1,2,699,,,-37.8936,145.0366,Southern Metropolitan,5051,1303500
Caulfield South,2,h,S,22/08/2016,9.3,3162,2,1,1,402,,,-37.8967,145.0313,Southern Metropolitan,5051,1115000
Caulfield South,2,h,S,24/09/2016,9.3,3162,2,1,1,505,117,1940,-37.8928,145.0149,Southern Metropolitan,5051,1340000
Caulfield South,3,h,S,25/02/2017,9.3,3162,3,2,2,494,135,1920,-37.9027,145.0322,Southern Metropolitan,5051,1200000
Caulfield South,3,h,S,25/02/2017,9.3,3162,3,1,2,520,,,-37.8889,145.0151,Southern Metropolitan,5051,1570000
Caulfield South,2,h,S,26/07/2016,9.3,3162,2,2,1,255,85,1890,-37.8887,145.0207,Southern Metropolitan,5051,1001000
Caulfield South,3,h,S,26/07/2016,9.3,3162,3,1,1,312,123,1926,-37.8893,145.0196,Southern Metropolitan,5051,1330000
Caulfield South,1,u,VB,27/11/2016,9.3,3162,1,1,1,0,,1970,-37.8943,145.0145,Southern Metropolitan,5051,290000
Caulfield South,4,h,S,28/05/2016,9.3,3162,3,2,2,641,215,1970,-37.9012,145.035,Southern Metropolitan,5051,1570000
Caulfield South,4,h,S,28/05/2016,9.3,3162,4,2,2,630,205,1910,-37.8894,145.0145,Southern Metropolitan,5051,1916000
Caulfield South,2,u,VB,28/08/2016,9.3,3162,2,1,1,90,,,-37.8996,145.0169,Southern Metropolitan,5051,500000
Chadstone,3,t,S,3/9/2016,13.6,3148,3,2,1,182,,,-37.8786,145.1015,Southern Metropolitan,3582,752000
Chadstone,4,h,S,3/12/2016,13.6,3148,4,2,2,600,,,-37.8891,145.1002,Southern Metropolitan,3582,1507000
Chadstone,4,h,VB,4/2/2016,13.6,3148,4,3,2,288,158,2014,-37.8801,145.1051,Southern Metropolitan,3582,890000
Chadstone,3,u,S,4/6/2016,13.6,3148,2,2,1,224,94,2006,-37.8738,145.1054,Southern Metropolitan,3582,700000
Chadstone,3,h,S,6/8/2016,13.6,3148,3,1,2,606,,,-37.8784,145.0958,Southern Metropolitan,3582,1000000
Chadstone,3,t,S,7/11/2016,13.6,3148,3,2,2,277,143,2010,-37.8796,145.1044,Southern Metropolitan,3582,865000
Chadstone,4,t,S,11/2/2017,13.6,3148,4,3,2,209,160,2016,-37.8805,145.105,Southern Metropolitan,3582,1042500
Chadstone,2,h,S,13/08/2016,13.6,3148,2,1,1,585,97,1950,-37.8792,145.0948,Southern Metropolitan,3582,1002000
Chadstone,3,h,S,15/10/2016,13.6,3148,3,1,2,586,,,-37.8805,145.0978,Southern Metropolitan,3582,992000
Chadstone,3,h,PI,15/10/2016,13.6,3148,3,2,2,160,101,2000,-37.8859,145.0934,Southern Metropolitan,3582,650000
Chadstone,4,t,SP,17/09/2016,13.6,3148,4,3,2,273,182,2012,-37.8742,145.105,Southern Metropolitan,3582,965000
